"id","game_name","console","game_type","finished","published_year","played_year","hours_played","perso_score","multiplayed"
133,Star Wars: The Force Unleashed,PS3,Hack&Clash,true,2008,2016,15,75,false
134,Star Wars: The Force Unleashed II,PS3,Hack&Clash,true,2008,2016,15,75,false
135,LEGO Star Wars: The Complete Saga,PS3,Hack&Clash,true,2007,2016,10,75,false
136,Star Wars Rogue Leader: Rogue Squadron II,GameCube,Gunfight,true,2001,2003,50,94,true
137,Star Wars: Rogue Squadron,PC,Gunfight,true,1998,2003,20,93,true
138,Little Big Adventure,PC,Action-Adventure|Platformer,true,1994,1999,20,85,true
139,Little Big Adventure 2,PC,Action-Adventure|Platformer,true,1997,2000,50,97,true
140,Tomb Raider,PS1,Action|Platformer,true,1997,1997,15,85,true
141,Tomb Raider II,PC,Action|Platformer,true,1997,1998,10,86,true
142,Tomb Raider III: Adventures of Lara Croft,PC,Action|Platformer,true,1998,1998,10,86,true
143,Tomb Raider (2013),PS3,Action|Platformer,true,2013,2013,30,92,true
144,Rise of the Tomb Raider,PS4,Action|Platformer,false,2015,2015,10,75,true
145,Crash Bandicoot,PS1,Action|Platformer,false,1996,1996,10,79,true
146,Crash Nitro Kart,PS2,Racing,false,2003,2003,15,72,true
147,Metal Gear Solid,PS1,Action|Infiltration,false,1998,2016,5,80,false
148,Splinter Cell,PS2,Action|Infiltration,false,2002,2002,15,82,false
149,WipeOut 2097,PS1,Racing,false,1996,1996,15,82,true
150,Driver,PC,Racing,false,1999,2000,15,72,true
151,Chrono Trigger,PS1,JRPG,false,1995,2015,5,75,false
152,Fighting Force,PS1,Beat'em All,true,1997,1997,20,79,true
153,Tekken,PS1,Versus Fighting,false,1995,1997,20,79,true
154,Resident Evil 2,PS1,Survival horror,false,1998,1998,10,80,true
155,Sonic the Hedgehog,Megadrive,Platformer,true,1991,1996,40,85,true
156,Sonic the Hedgehog 2,Megadrive,Platformer,true,1992,1996,50,88,true
157,Sonic the Hedgehog 3,Megadrive,Platformer,true,1994,1996,40,88,true
158,Sonic & Knuckles,Megadrive,Platformer,true,1994,1996,20,80,true
159,Sonic 3 & Knuckles,Megadrive,Platformer,true,1994,1996,60,94,true
160,ToeJam&Earl,Megadrive,Action-Adventure|Platformer,false,1991,1996,10,75,true
161,Streets of Rage 3,Megadrive,Beat'em All,true,1992,1996,15,70,false
162,Golden Axe,Megadrive,Beat'em All,false,1989,1993,15,70,false
163,Mighty Morphin Power Rangers,Megadrive,Beat'em All,false,1994,1994,15,60,true
164,Sonic 3D: Flickies' Island,Megadrive,Platformer,true,1996,1996,30,79,false
165,Sonic Pinball,Megadrive,Platformer,true,1996,1996,30,79,true
166,Jungle Strike,Megadrive,Action-Adventure|Beat'em All,false,1993,1996,30,79,false
167,EarthWorm Jim,Megadrive,Action-Adventure|Platformer,false,1994,1995,15,78,true
168,Aladdin,Megadrive,Action-Adventure|Platformer,true,1993,1994,25,89,true
169,Disney's The Lion King,Megadrive,Action-Adventure|Platformer,false,1994,1994,15,80,true
170,Dr Robotnik,Megadrive,STR,true,1993,1993,30,89,true
171,Micromachines,Megadrive,Racing,false,1994,1994,15,80,true
172,Tintin in Tibet,Megadrive,Platformer,false,1995,1996,10,71,true
