game_name,console,game_type,finished,published_year,played_year,hours_played,perso_score,multiplayed
Star Wars Episode I Racer,PC,Racing,1,2001,2001,30,75,0
Star Wars: StarFighter,PC,Space Shooter,1,2001,2001,20,80,0
Star Wars: Jedi StarFighter,PS2,Space Shooter,1,2001,2001,20,80,0
Star Wars Battlefront (2015),PC,FPS|Space Shooter,1,2015,2015,20,80,1
Star Wars Battlefront II,PS4|PC,FPS|Space Shooter,1,2017,2017,50,90,1
Star Wars: Bounty Hunter,PS2,Action-Adventure,1,2002,2002,30,70,1
Star Wars: The Force Unleashed,PS3,Hack&Clash,1,2008,2016,15,75,0
Star Wars: The Force Unleashed II,PS3,Hack&Clash,1,2008,2016,15,75,0
LEGO Star Wars: The Complete Saga,PS3,Hack&Clash,1,2007,2016,10,75,0
Star Wars Rogue Leader: Rogue Squadron II,GameCube,Gunfight,1,2001,2003,50,94,1
Star Wars: Rogue Squadron,PC,Gunfight,1,1998,2003,20,93,1
Little Big Adventure,PC,Action-Adventure|Platformer,1,1994,1999,20,85,1
Little Big Adventure 2,PC,Action-Adventure|Platformer,1,1997,2000,50,97,1
Tomb Raider,PS1,Action|Platformer,1,1997,1997,15,85,1
Tomb Raider II,PC,Action|Platformer,1,1997,1998,10,86,1
Tomb Raider III: Adventures of Lara Croft,PC,Action|Platformer,1,1998,1998,10,86,1
Tomb Raider (2013),PS3,Action|Platformer,1,2013,2013,30,92,1
Rise of the Tomb Raider,PS4,Action|Platformer,0,2015,2015,10,75,1
Crash Bandicoot,PS1,Action|Platformer,0,1996,1996,10,79,1
Crash Nitro Kart,PS2,Racing,0,2003,2003,15,72,1
Metal Gear Solid,PS1,Action|Infiltration,0,1998,2016,5,80,0
Splinter Cell,PS2,Action|Infiltration,0,2002,2002,15,82,0
WipeOut 2097,PS1,Racing,0,1996,1996,15,82,1
Driver,PC,Racing,0,1999,2000,15,72,1
Chrono Trigger,PS1,JRPG,0,1995,2015,5,75,0
Fighting Force,PS1,Beat'em All,1,1997,1997,20,79,1
Tekken,PS1,Versus Fighting,0,1995,1997,20,79,1
Resident Evil 2,PS1,Survival horror,0,1998,1998,10,80,1
Sonic the Hedgehog,Megadrive,Platformer,1,1991,1996,40,85,1
Sonic the Hedgehog 2,Megadrive,Platformer,1,1992,1996,50,88,1
Sonic the Hedgehog 3,Megadrive,Platformer,1,1994,1996,40,88,1
Sonic & Knuckles,Megadrive,Platformer,1,1994,1996,20,80,1
Sonic 3 & Knuckles,Megadrive,Platformer,1,1994,1996,60,94,1
ToeJam&Earl,Megadrive,Action-Adventure|Platformer,0,1991,1996,10,75,1
Streets of Rage 3,Megadrive,Beat'em All,1,1992,1996,15,70,0
Golden Axe,Megadrive,Beat'em All,0,1989,1993,15,70,0
Mighty Morphin Power Rangers,Megadrive,Beat'em All,0,1994,1994,15,60,1
Sonic 3D: Flickies' Island,Megadrive,Platformer,1,1996,1996,30,79,0
Sonic Pinball,Megadrive,Platformer,1,1996,1996,30,79,1
Jungle Strike,Megadrive,Action-Adventure|Beat'em All,0,1993,1996,30,79,0
EarthWorm Jim,Megadrive,Action-Adventure|Platformer,0,1994,1995,15,78,1
Aladdin,Megadrive,Action-Adventure|Platformer,1,1993,1994,25,89,1
Disney's The Lion King,Megadrive,Action-Adventure|Platformer,0,1994,1994,15,80,1
Dr Robotnik,Megadrive,STR,1,1993,1993,30,89,1
Micromachines,Megadrive,Racing,0,1994,1994,15,80,1
Tintin in Tibet,Megadrive,Platformer,0,1995,1996,10,71,1
Tales of Symphonia,GameCube,JRPG,1,2003,2008,30,85,0
Ristar,Megadrive,Action-Adventure|Platformer,0,1995,1996,20,80,0
AAAHH!!! Real Monsters,Megadrive,Action-Adventure|Platformer,0,1995,1996,15,68,0
Jurassic Park,Megadrive,Action-Adventure|Platformer,0,1994,1996,5,62,1
The Lost World: Jurassic Park,PS1,Action-Adventure|Platformer,0,1995,1996,5,62,1
M.U.S.H.A,Megadrive,Gunfight|Space Shooter,0,1990,1995,10,65,1
Street Fighter 2,Megadrive,Versus Fighting,0,1991,1995,20,67,1
Dragon Ball Z,Megadrive,Versus Fighting,0,1994,1996,10,68,1
Mortal Kombat,Megadrive,Versus Fighting,0,1992,1994,10,67,1
SSX,PS2,Sport,0,2000,2001,10,88,1
SSX Tricky,PS2,Sport,1,2001,2002,30,92,1
SSX 3,PS2,Sport,1,2003,2003,50,96,1
SSX On Tour,PS2,Sport,1,2005,2005,50,95,1
The Lord of the Rings: The Two Towers,PS2,Action-Adventure|Beat'em All,1,2002,2002,30,90,1
